state,deaths,deaths_per_100_000
Alaska,103,13.9672758930242
Alabama,3457,70.7260891296026
Arkansas,2357,78.2062661236137
Arizona,6464,90.132725458005
California,18676,47.21282896637
Colorado,2355,41.3479683487009
Connecticut,4828,135.137215495995
District of Columbia,670,95.3797752169178
Delaware,748,77.3389607422059
Florida,18214,85.5144470540733
Georgia,9198,87.4378236556482
Hawaii,233,16.4027790390787
Iowa,2192,69.451815426731
Idaho,847,48.2838979186049
Illinois,12051,94.5838186401781
Indiana,5305,79.2752049574126
Kansas,1410,48.4284786931867
Kentucky,1787,39.9919255250535
Louisiana,6260,134.335398149948
Massachusetts,10512,152.300392240156
Maryland,4434,73.3775761172373
Maine,176,13.1499905858022
Michigan,8875,88.7862691909645
Minnesota,3241,57.7596972044556
Missouri,3559,58.0923510051168
Mississippi,3676,123.085989425855
Montana,603,56.7633589223434
North Carolina,5034,48.4802024727407
North Dakota,673,88.5436607080598
Nebraska,905,46.9089830961795
New Hampshire,512,37.7453632917495
New Jersey,16761,188.145730154953
New Mexico,1383,66.0008361060366
Nevada,2017,66.4713062781605
New York,26357,134.872163121375
Ohio,5996,51.2941507387607
Oklahoma,1634,41.4396972518177
Oregon,820,19.5670760560315
Pennsylvania,9842,76.8482383935111
Rhode Island,1303,123.236689160752
South Carolina,4283,84.2425848134793
South Dakota,819,92.832408598616
Tennessee,4266,63.0132008667639
Texas,20556,71.6190892954791
Utah,793,25.0861644899489
Virginia,3938,46.2332194721923
Vermont,63,10.0590931807332
Washington,2619,34.7550709692179
Wisconsin,3150,54.183592588923
West Virginia,662,36.6590026093236
Wyoming,176,30.463688494938
